TIN,Purchase Object
105018196,газовый услуга оборудование технический обслуживание оказание возмездный подключение
105020004,оказание услуга повышение квалификация среднее нужда специалист звено
202008210,
207006200,
207007690,
210003329,
210003368,
210003590,обучение район возраст гражданин дисциплина основа методология личный
210026809,
212006396,
214000939,
214006627,
216006502,
219008410,
219008473,санаторнокурортный путёвка организация поставка член семья услуга судья
224950288,
227007138,
228006828,содержание район караидель караидельский автомобильный дорога устройство местный
229008867,капитальный ремонт кармаскалинский район рб уличный освещение ул
231005165,
231007910,ребёнок отдых оздоровление обеспечение услуга детейсирота остаться попечение
231009628,возмещение коммунальный расход природный газ 2017г
234001754,обучение гражданин район пожилой возраст программа дисциплина народный
234002300,
236012952,ребёнок услуга оздоровление организация санаторнокурортный отдых остаться попечение
239005424,ребёнок путёвка оздоровление отдых республика башкортостан услуга попечение
242001148,продукт поставка питание молочный год квартал колбасный 2018
244001658,
245004926,приобретение нефтепродукт путёвка санаторийпрофилактория оздоровление ветеран пенсионер война
245012250,услуга технический пао анк башнефть поддержка связь система
245022178,поставка питание район хлеб продукт хлебобулочный изделие организация
245953498,организация обеспечение отдых оздоровление ребёнок приобретение путёвка детейсирота
248001659,обучение пожилой гражданин дисциплина реализация мероприятие народный университет
248002998,отпуск питьевой вода
248003374,
248003399,поставка детский мебель кровать трехярусный мадоу црр дс
248004610,
254012289,
255017547,фракция изобутановый углеводородный сырьё керосин отработать бензин газовый
256006322,поставка канат стальной нужда ао согласно технический задание
256007277,выполнение работа республика башкортостан освещение белорецк ремонт уличный
256008506,ребёнок оказание услуга организация каникулярный отдых оздоровление путём
256008859,
256016289,
256017557,медицинский осмотр оказание услуга гбелорецк проведение работник предрейсовый
256018871,водоснабжение водоотведение холодное республика башкортостан выполнение работа капитальный
257009703,район муниципальный городской поселение город бирск бирский технический
260001045,услуга оказание объект дюртюли республика башкортостан технический обслуживание
260011460,район дюртюлинский дорога рб территория сельский поселение семилетовский
261003447,
261012628,оказание ветеринарносанитарный услуга
261013879,нужда поставка транспортёр гусеничный газпром двухзвенный ооо право
262003665,
262003778,ооо газпром пхг возмездный оказание услуга организация проведение
262013127,ребёнок отдых детейсирота остаться попечение родитель организация оздоровление
262016287,имущество ведомость вертолёт закупка обслуживание согласно работа ремонт
263014532,тепловой энергия горячий вода система район отопление отпуск
263015092,
264004054,капитальный ремонт холл лабораторный корпус гапоу нефтекамский нефтяной
264022039,
265026710,холодное водоснабжение водоотведение поставка договор ремонт пожарный гидрант
266001524,
266002905,водоснабжение холодное оказание услуга сеть вода городской округ
266005310,оказание услуга выполнение работа поставка товар цель гуманитарный
266008329,услуга поставка работа технический объект приём оказание вода
266023599,организация питание горячее услуга оказание дневный пребывание молоко
266029390,оказание услуга 9070318нгузеп аренда движимый имущество 7210218нгузеп субаренда
266033685,услуга оказание контейнер отход обеспечение вода очистка сточный
266036534,работа лот 1 11зеп предоставление временной владение пользование
266040210,оказание услуга переработка давальческий сырьё 281528122015зеп делопроизводство технический
267001478,
267002383,обучение гражданин возраст пожилой дисциплина народный университет третий
267002680,
267018087,услуга водоснабжение вода оказание водоотведение холодный природный очистка
268000188,модернизация ул м водоснабжение район стерлитамак водоотведение ø
268004425,ул мкд жилой дом капитальный ремонт район рб
268008010,поставка тепловой энергия покрытие титановый пластина очистный сооружение
268013204,
268015226,
268021974,поставка товар отпуск горячий вода
268022880,
268039241,
268055772,водоотведение водоснабжение холодное услуга вода оказание поставка хозяйственный
268069694,поставка нужда сода кальцинированный марка технический сорт а
269001307,
270001580,медицинский услуга осмотр район оказание филиал г учалинский
270007455,услуга государственный оказание электронный аукцион право заключение контракт
270012582,приобретение путёвка загородный оздоровительный лагерь время летний каникулы
272010862,ремонт район дюртюлинский рб капитальный сельский поселение скотомогильник
272903288,оказание услуга организация химический обработка сельскохозяйственный угодье
273008320,поставка оказание услуга нужда авторский надзор технический сопровождение
274019596,
274022366,медицинский оказание услуга профессиональный республика башкортостан предоставлять патология
274023088,услуга оказание профессиональный лабораторный исследование проведение работник гбуз
274036320,средство медицинский поставка применение обеспечение отдельный группа население
274051582,проведение лабораторный процедура поставка имущество закупка топливный путёвка
274055890,элеватор проведение работа услуга оказание дезинсекционный помещение сельскохозяйственный
274059951,
274091120,услуга санаторнокурортный оказание организация год социальный помощь система
274100871,
274101427,ао башспирт нужда оказание информационностатистический услуга закупка монтажный
274108180,башкирский центр овд услуга аэропорт медицинский оказание уфа
274110679,поставка лекарственный препарат тн обеспечение пациент основание решение
274116127,
274132270,квартал выдел лесничество участок участковый 5 аренда иглинский
274135810,услуга изготовление оказание материал исполнитель печатный продукция сувенирный
274144861,дорога республика башкортостан район выполнение работа городской город
274150329,
274157821,
274162028,проведение психиатрический освидетельствование рб обязательный работник расположить сотрудник
274191734,
274908098,
274940969,
274955820,
275016083,
275038496,поставка электроэнергия электрический энергия год район нужда гапоу
276014593,строительство поставка район объект медицинский электронный аукцион право
276046524,газ поставка иить год горючее природный нефтяной попутный
276055568,поставка шкаф поставщик право заключение договор открытый закупка
276085700,
276090347,оказание услуга автотранспортный филиал право заключение договор ао
276140862,поставка шт магнитопровод реле магнитный клемма штука электронный
277014204,фракция поставка дифенилолпропан нужда фкп завод имя ям
277039657,снег услуга вывоз оказание утилизация восстановление благоустройство раскопка
277071467,республика башкортостан ктп сеть работа район технический обслуживание
277077282,вода поставка тепловой энергия нужда пао одкумпо услуга
277106840,услуга оказание работа выполнение скважина консервация ликвидация функция
277121421,тепловой энергия горячий услуга вода оказание отпуск поставка
278030985,технический обслуживание газовый оборудование сеть ремонт услуга оказание
278039018,ао транснефть оказание объект услуга урал филиал технический
278065064,район республика башкортостан функция контроль объект корректировка уфа
278106433,оказание пожарнопрофилактический обслуживание охрана пожар пао одкумпо 1706201800090
278111264,месторождение проект выполнение пир приобский куст нефть участок
278179819,поставка фильтр покупной комплектующие изделие нужда пао одкумпо
278182064,рб г уфа ремонт работа монтаж система управление
279000119,межгорье зато республика башкортостан содержание автодорога общий пользование
306010937,
306011190,
306011264,
306011289,
306011338,
306011391,
306011401,
306011419,
306011514,
306011560,
306011578,
306011747,
306011786,
306011881,
306013159,
313316806,тепловой энергия подача вода водоснабжение таксить филиал поставка
314002305,поставка уголь
314886622,
317009348,аренда недвижимый имущество
317317342,вода поставка питьевой приём сточный подача тепловой энергия
317317663,поставка тепловой энергия теплоноситель
317317670,подача тепловой энергия теплоноситель
317317688,оказание услуга теплоснабжение горячее водоснабжение пмс303 подача тепловой
317741939,услуга оказание объект сп нижнеангарск уланудэнский подача тепловой
318008361,медицинский осмотр услуга проведение оказание работник периодический предрейсовый
318016002,
323012571,
323017192,
323048828,
323060582,
323096170,оказание услуга город организация проведение праздничный концерт посвятить
323107142,автобус предоставление похоронный обслуживание оказание услуга транспортный средство
323121940,
323349582,услуга оказание ребёнок год нужда гбуз городской больница
323825390,
326009016,
326023564,
400002820,
411004749,
411014585,
522016027,
524007564,
542019040,
570006131,тепловой энергия поставка теплоснабжение район махачкала подача горячее
571000541,оказание услуга тс1 аэропорт махачкала авиационный поставка топливо
572005870,
603015367,
608014060,поставка электронный табло библиотека
702009100,спирт поставка этиловый ректификованный открытый форма нужда электронный
710057756,услуга канатный дорога подъём обучение военнослужащий министерство оборона
711044742,
726006355,
813000060,поставка кровать односпальный
813900417,ремонт пожарный автомобиль марка рамка гоз зил финансирование
816005116,оказание услуга калмыкия республика федеральный изготовление региональный управление
816021157,
816028120,
901016976,исследование проведение услуга оказание цитологический мазок томография расшифровка
917006606,
917012511,искусственный освещение 10 кв ул строительство объект пкио
